,Unnamed: 0,START_DATE,END_DATE,START,STOP,MILES,date,time,day-night,DAY,CATEGORY_Business,CATEGORY_Personal,PURPOSE_Airport/Travel,PURPOSE_Between Offices,PURPOSE_Charity ($),PURPOSE_Commute,PURPOSE_Customer Visit,PURPOSE_Errand/Supplies,PURPOSE_Meal/Entertain,PURPOSE_Meeting,PURPOSE_Moving,PURPOSE_NOT,PURPOSE_Temporary Site,MONTH
0,0,2016-01-01 21:11:00,2016-01-01 21:17:00,Fort Pierce,Fort Pierce,5.1,2016-01-01,21.0,Night,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
1,1,2016-01-02 01:25:00,2016-01-02 01:37:00,Fort Pierce,Fort Pierce,5.0,2016-01-02,1.0,Morning,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Jan
2,2,2016-01-02 20:25:00,2016-01-02 20:38:00,Fort Pierce,Fort Pierce,4.8,2016-01-02,20.0,Night,Sat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
3,3,2016-01-05 17:31:00,2016-01-05 17:45:00,Fort Pierce,Fort Pierce,4.7,2016-01-05,17.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
4,4,2016-01-06 14:42:00,2016-01-06 15:49:00,Fort Pierce,West Palm Beach,63.7,2016-01-06,14.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
5,5,2016-01-06 17:15:00,2016-01-06 17:19:00,West Palm Beach,West Palm Beach,4.3,2016-01-06,17.0,Evening,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
6,6,2016-01-06 17:30:00,2016-01-06 17:35:00,West Palm Beach,Palm Beach,7.1,2016-01-06,17.0,Evening,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
7,7,2016-01-07 13:27:00,2016-01-07 13:33:00,Cary,Cary,0.8,2016-01-07,13.0,Afternoon,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
8,8,2016-01-10 08:05:00,2016-01-10 08:25:00,Cary,Morrisville,8.3,2016-01-10,8.0,Morning,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
9,9,2016-01-10 12:17:00,2016-01-10 12:44:00,Jamaica,New York,16.5,2016-01-10,12.0,Afternoon,Sun,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
10,10,2016-01-10 15:08:00,2016-01-10 15:51:00,New York,Queens,10.8,2016-01-10,15.0,Afternoon,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
11,11,2016-01-10 18:18:00,2016-01-10 18:53:00,Elmhurst,New York,7.5,2016-01-10,18.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
12,12,2016-01-10 19:12:00,2016-01-10 19:32:00,Midtown,East Harlem,6.2,2016-01-10,19.0,Evening,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
13,13,2016-01-11 08:55:00,2016-01-11 09:21:00,East Harlem,NoMad,6.4,2016-01-11,8.0,Morning,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Jan
14,14,2016-01-11 11:56:00,2016-01-11 12:03:00,Flatiron District,Midtown,1.6,2016-01-11,11.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
15,15,2016-01-11 13:32:00,2016-01-11 13:46:00,Midtown,Midtown East,1.7,2016-01-11,13.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
16,16,2016-01-11 14:30:00,2016-01-11 14:43:00,Midtown East,Midtown,1.9,2016-01-11,14.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
17,17,2016-01-12 12:33:00,2016-01-12 12:49:00,Midtown,Hudson Square,1.9,2016-01-12,12.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
18,18,2016-01-12 12:53:00,2016-01-12 13:09:00,Hudson Square,Lower Manhattan,4.0,2016-01-12,12.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
19,19,2016-01-12 14:42:00,2016-01-12 14:56:00,Lower Manhattan,Hudson Square,1.8,2016-01-12,14.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
20,20,2016-01-12 15:13:00,2016-01-12 15:28:00,Hudson Square,Hell's Kitchen,2.4,2016-01-12,15.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
21,21,2016-01-12 15:42:00,2016-01-12 15:54:00,Hell's Kitchen,Midtown,2.0,2016-01-12,15.0,Afternoon,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
22,22,2016-01-12 16:02:00,2016-01-12 17:00:00,New York,Queens County,15.1,2016-01-12,16.0,Evening,Tues,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
23,23,2016-01-13 13:54:00,2016-01-13 14:07:00,Downtown,Gulfton,11.2,2016-01-13,13.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
24,24,2016-01-13 15:00:00,2016-01-13 15:28:00,Gulfton,Downtown,11.8,2016-01-13,15.0,Afternoon,Wed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jan
25,25,2016-01-14 16:29:00,2016-01-14 17:05:00,Houston,Houston,21.9,2016-01-14,16.0,Evening,Thus,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan
26,26,2016-01-14 21:39:00,2016-01-14 21:45:00,Eagan Park,Jamestown Court,3.9,2016-01-14,21.0,Night,Thus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Jan
27,28,2016-01-15 11:43:00,2016-01-15 12:03:00,Cary,Durham,10.4,2016-01-15,11.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
28,29,2016-01-15 13:26:00,2016-01-15 13:44:00,Durham,Cary,10.4,2016-01-15,13.0,Afternoon,Fri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
29,30,2016-01-18 14:55:00,2016-01-18 15:06:00,Cary,Cary,4.8,2016-01-18,14.0,Afternoon,Mon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jan
